# The Reference Fusion gene pairs ====> COSMIC,ChimerDB,TICdb,CobjoinG,FareCafe 
# The Gene sequence of Fusion gene pairs ======> Ensembl 
# Updated: 2018.12.26 
GATA1-MYB	GATA1	MYB
ADD3-NUP98	ADD3	NUP98
ETV6-ACSL6	ETV6	ACSL6
MLLT1-KMT2A	MLLT1	KMT2A
AFDN-KMT2A	AFDN	KMT2A
TCF3-NOP2	TCF3	NOP2
TCF3-ZNF384	TCF3	ZNF384
ACACA-KMT2A	ACACA	KMT2A
EEFSEC-KMT2A	EEFSEC	KMT2A
ABL1-BCR	ABL1	BCR
ETV6-RUNX1	ETV6	RUNX1
AFF1-KMT2A	AFF1	KMT2A
CDK6-KMT2A	CDK6	KMT2A
TOP1-NUP98	TOP1	NUP98
MLLT10-PICALM	MLLT10	PICALM
FGA-RUNX1	FGA	RUNX1
MLLT3-KMT2A	MLLT3	KMT2A
TCF3-HLF	TCF3	HLF
RARA-PML	RARA	PML
RARA-KMT2A	RARA	KMT2A
RARA-NPM1	RARA	NPM1
RARA-ZBTB16	RARA	ZBTB16
CREBBP-KMT2A	CREBBP	KMT2A
TCF3-PBX1	TCF3	PBX1
KNL1-KMT2A	KNL1	KMT2A
SEPT5-KMT2A	SEPT5	KMT2A
GAS7-KMT2A	GAS7	KMT2A
RUNX1T1-RUNX1	RUNX1T1	RUNX1
HOXA9-NUP98	HOXA9	NUP98
SEPT6-KMT2A	SEPT6	KMT2A
HOXC11-NUP98	HOXC11	NUP98
ETV6-MNX1	ETV6	MNX1
FGFR1-FGFR1OP	FGFR1	FGFR1OP
MECOM-RUNX1	MECOM	RUNX1
MECOM-THADA	MECOM	THADA
MECOM-RPN1	MECOM	RPN1
CREBBP-KAT6A	CREBBP	KAT6A
USP42-RUNX1	USP42	RUNX1
DAB2IP-KMT2A	DAB2IP	KMT2A
CEP170B-KMT2A	CEP170B	KMT2A
MPO-ZNF296	MPO	ZNF296
TRIP11-PDGFRB	TRIP11	PDGFRB
HOXC13-NUP98	HOXC13	NUP98
ELL-KMT2A	ELL	KMT2A
DEK-NUP214	DEK	NUP214
SET-NUP214	SET	NUP214
ABL1-NUP214	ABL1	NUP214
CREBBP-KAT6B	CREBBP	KAT6B
NCOA2-KAT6B	NCOA2	KAT6B
EP300-KAT6B	EP300	KAT6B
FUS-ERG	FUS	ERG
FUS-CREB3L1	FUS	CREB3L1
FUS-DDIT3	FUS	DDIT3
CBFB-MYH11	CBFB	MYH11
FOXO3-KMT2A	FOXO3	KMT2A
PSIP1-NUP98	PSIP1	NUP98
FOXO4-KMT2A	FOXO4	KMT2A
ETV6-CHIC2	ETV6	CHIC2
NSD1-NUP98	NSD1	NUP98
SARNP-KMT2A	SARNP	KMT2A
SEPT9-KMT2A	SEPT9	KMT2A
MLLT11-KMT2A	MLLT11	KMT2A
MLLT6-KMT2A	MLLT6	KMT2A
PRDM16-RPN1	PRDM16	RPN1
RBM15-MRTFA	RBM15	MRTFA
TFEB-MALAT1	TFEB	MALAT1
ACAT2-MALAT1	ACAT2	MALAT1
CLTC-ALK	CLTC	ALK
MYH9-ALK	MYH9	ALK
CLTC-TFE3	CLTC	TFE3
LIFR-PLAG1	LIFR	PLAG1
PAX3-FOXO1	PAX3	FOXO1
PAX7-FOXO1	PAX7	FOXO1
ASPSCR1-TFE3	ASPSCR1	TFE3
MSN-ALK	MSN	ALK
TPM3-ALK	TPM3	ALK
ATIC-ALK	ATIC	ALK
THRAP3-USP6	THRAP3	USP6
EWSR1-CREB1	EWSR1	CREB1
FUS-ATF1	FUS	ATF1
MYC-IGLC6	MYC	IGLC6
CCND1-FSTL3	CCND1	FSTL3
ARHGAP20-KAT6A	ARHGAP20	KAT6A
POU2AF1-BCL6	POU2AF1	BCL6
HSP90AB1-BCL6	HSP90AB1	BCL6
ETV6-RUNX1	ETV6	RUNX1
SSX2-SS18	SSX2	SS18
FGFR3-BAIAP2L1	FGFR3	BAIAP2L1
FGFR3-TACC3	FGFR3	TACC3
C11orf95-MRTFB	C11orf95	MRTFB
HOXA9-MSI2	HOXA9	MSI2
FGFR1-BCR	FGFR1	BCR
STYXL1-BCR	STYXL1	BCR
ETV6-PER1	ETV6	PER1
CAPRIN1-PDGFRB	CAPRIN1	PDGFRB
CCDC6-PDGFRB	CCDC6	PDGFRB
GIT2-PDGFRB	GIT2	PDGFRB
PRKG2-PDGFRB	PRKG2	PDGFRB
RASSF5-LSAMP	RASSF5	LSAMP
EWSR1-ATF1	EWSR1	ATF1
VTI1A-TCF7L2	VTI1A	TCF7L2
ETV6-NTRK3	ETV6	NTRK3
CEP85L-PDGFRB	CEP85L	PDGFRB
COL1A1-PDGFB	COL1A1	PDGFB
EWSR1-WT1	EWSR1	WT1
JAZF1-SUZ12	JAZF1	SUZ12
JAZF1-PHF1	JAZF1	PHF1
SSH2-SUZ12	SSH2	SUZ12
MEAF6-PHF1	MEAF6	PHF1
EPC1-PHF1	EPC1	PHF1
MYO18A-PDGFRB	MYO18A	PDGFRB
WWTR1-CAMTA1	WWTR1	CAMTA1
YAP1-TFE3	YAP1	TFE3
SSX1-SS18	SSX1	SS18
EWSR1-FLII	EWSR1	FLII
EWSR1-ERG	EWSR1	ERG
EWSR1-ETV1	EWSR1	ETV1
EWSR1-ETV4	EWSR1	ETV4
EWSR1-FEV	EWSR1	FEV
FUS-FEV	FUS	FEV
EWSR1-NFATC2	EWSR1	NFATC2
EWSR1-NR4A3	EWSR1	NR4A3
TCF12-NR4A3	TCF12	NR4A3
MALT1-BIRC3	MALT1	BIRC3
EWSR1-SP3	EWSR1	SP3
LCP1-BCL6	LCP1	BCL6
NGB-BCL2	NGB	BCL2
PPARG-PAX8	PPARG	PAX8
CSF1-COL6A3	CSF1	COL6A3
WDR11-ZNF320	WDR11	ZNF320
GOPC-ROS1	GOPC	ROS1
LEO1-SLC12A1	LEO1	SLC12A1
TGFBR3-OGA	TGFBR3	OGA
BRD3-NUTM1	BRD3	NUTM1
BRD4-NUTM1	BRD4	NUTM1
TFG-ADGRG7	TFG	ADGRG7
TFG-NR4A3	TFG	NR4A3
TFG-ALK	TFG	ALK
TPM4-ALK	TPM4	ALK
MLF1-NPM1	MLF1	NPM1
RARA-FIP1L1	RARA	FIP1L1
EBF1-HMGA2	EBF1	HMGA2
EWSR1-DDIT3	EWSR1	DDIT3
FUS-CREB3L2	FUS	CREB3L2
PPARG-CREB3L2	PPARG	CREB3L2
MAML2-CRTC1	MAML2	CRTC1
MAML2-KMT2A	MAML2	KMT2A
MAML2-CRTC3	MAML2	CRTC3
TBXAS1-NFKB2	TBXAS1	NFKB2
INA-NFKB2	INA	NFKB2
ETV6-MDS2	ETV6	MDS2
PCM1-JAK2	PCM1	JAK2
PCM1-RET	PCM1	RET
NCOA4-RET	NCOA4	RET
GOLGA5-RET	GOLGA5	RET
EWSR1-ZNF444	EWSR1	ZNF444
EWSR1-CHN1	EWSR1	CHN1
TAF15-CHN1	TAF15	CHN1
TAF15-NR4A3	TAF15	NR4A3
TAF15-ZNF384	TAF15	ZNF384
TCF12-CHN1	TCF12	CHN1
FRYL-KMT2A	FRYL	KMT2A
NBPF1-ASIC2	NBPF1	ASIC2
SLC44A1-PRKCA	SLC44A1	PRKCA
RUNX1T1-BCL2	RUNX1T1	BCL2
EML4-ALK	EML4	ALK
KIF5B-ALK	KIF5B	ALK
AC011462.1-ALK	AC011462.1	ALK
TPM3-NTRK1	TPM3	NTRK1
TPR-NTRK1	TPR	NTRK1
TFG-NTRK1	TFG	NTRK1
NCOA4-PCDH15	NCOA4	PCDH15
NCOA4-RET	NCOA4	RET
LPP-HMGA2	LPP	HMGA2
KIAA1549-BRAF	KIAA1549	BRAF
FGFR3-NSD2	FGFR3	NSD2
TMPRSS2-ETV1	TMPRSS2	ETV1
TMPRSS2-ETV4	TMPRSS2	ETV4
TMPRSS2-ETV5	TMPRSS2	ETV5
SLC45A3-ETV5	SLC45A3	ETV5
SLC45A3-ERG	SLC45A3	ERG
KLK2-ETV4	KLK2	ETV4
FOXP1-ETV1	FOXP1	ETV1
TTC6-ETV1	TTC6	ETV1
TP53-ETV1	TP53	ETV1
SLC45A3-ETV1	SLC45A3	ETV1
SMG6-ETV1	SMG6	ETV1
HERPUD1-ERG	HERPUD1	ERG
SMG6-ERG	SMG6	ERG
NDRG1-ERG	NDRG1	ERG
TMPRSS2-ERG	TMPRSS2	ERG
PRCC-TFE3	PRCC	TFE3
CTNNB1-PLAG1	CTNNB1	PLAG1
EWSR1-PATZ1	EWSR1	PATZ1
CDK6-SEMA4F	CDK6	SEMA4F
FGFR1-ZMYM2	FGFR1	ZMYM2
SSX1-SYT4	SSX1	SYT4
SSX1-SS18L1	SSX1	SS18L1
SSX4-SS18	SSX4	SS18
RAP1GDS1-NUP98	RAP1GDS1	NUP98
ABL1-EML1	ABL1	EML1
HOXD13-NUP98	HOXD13	NUP98
MLLT10-KMT2A	MLLT10	KMT2A
HOXA9-IL2	HOXA9	IL2
DEXI-IL2	DEXI	IL2
TNFRSF17-IL2	TNFRSF17	IL2
AKAP9-BRAF	AKAP9	BRAF
DUX4-CIC	DUX4	CIC
FOXO4-CIC	FOXO4	CIC
CCNB1IP1-HMGA2	CCNB1IP1	HMGA2
COG5-HMGA2	COG5	HMGA2
COX6C-HMGA2	COX6C	HMGA2
CUX1-AGR3	CUX1	AGR3
ACSL3-ETV1	ACSL3	ETV1
ACTB-GLI1	ACTB	GLI1
AFF3-BCL2	AFF3	BCL2
AGTRAP-BRAF	AGTRAP	BRAF
NCOA2-AHRR	NCOA2	AHRR
NCOA2-HEY1	NCOA2	HEY1
PTPN3-ALK	PTPN3	ALK
ANKRD28-NUP98	ANKRD28	NUP98
PRCC-ARHGAP6	PRCC	ARHGAP6
BACH2-BCL2L1	BACH2	BCL2L1
IKZF2-BCL11B	IKZF2	BCL11B
RARA-BCOR	RARA	BCOR
ZC3H7B-BCOR	ZC3H7B	BCOR
ARHGAP20-BRWD3	ARHGAP20	BRWD3
HMGN2P46-ETV1	HMGN2P46	ETV1
CACNA2D4-WDR43	CACNA2D4	WDR43
CANT1-ETV4	CANT1	ETV4
RAP1GDS1-ALK	RAP1GDS1	ALK
TRIM27-RET	TRIM27	RET
TRIM33-RET	TRIM33	RET
CCDC6-RET	CCDC6	RET
CCDC88C-PDGFRB	CCDC88C	PDGFRB
CD44-SLC1A2	CD44	SLC1A2
CD74-ROS1	CD74	ROS1
CDH11-USP6	CDH11	USP6
CNBP-USP6	CNBP	USP6
CDK5RAP2-PDGFRA	CDK5RAP2	PDGFRA
FGFR1-CNTRL	FGFR1	CNTRL
CHCHD7-PLAG1	CHCHD7	PLAG1
COL1A2-PLAG1	COL1A2	PLAG1
KIT-CNTRL	KIT	CNTRL
COL1A1-USP6	COL1A1	USP6
DGKB-MIPOL1	DGKB	MIPOL1
ERC1-PDGFRB	ERC1	PDGFRB
ESRP1-RAF1	ESRP1	RAF1
ETV6-ABL2	ETV6	ABL2
ETV6-ARNT	ETV6	ARNT
ETV6-BAZ2A	ETV6	BAZ2A
ETV6-CDX2	ETV6	CDX2
ETV6-FLT3	ETV6	FLT3
ETV6-GOT1	ETV6	GOT1
ETV6-ITPR2	ETV6	ITPR2
ETV6-JAK2	ETV6	JAK2
ETV6-LYN	ETV6	LYN
ETV6-NKAIN2	ETV6	NKAIN2
SENP6-NKAIN2	SENP6	NKAIN2
ETV6-PDGFRA	ETV6	PDGFRA
ETV6-PDGFRB	ETV6	PDGFRB
ETV6-SYK	ETV6	SYK
ITK-SYK	ITK	SYK
EWSR1-FLI1	EWSR1	FLI1
SLC45A3-FLI1	SLC45A3	FLI1
EWSR1-PBX1	EWSR1	PBX1
FGFR1-FGFR1OP2	FGFR1	FGFR1OP2
EWSR1-POU5F1	EWSR1	POU5F1
EWSR1-SMARCA5	EWSR1	SMARCA5
FCHSD1-BRAF	FCHSD1	BRAF
FZD6-SDC2	FZD6	SDC2
GAPDH-BCL6	GAPDH	BCL6
HIST1H4I-BCL6	HIST1H4I	BCL6
HSP90AA1-BCL6	HSP90AA1	BCL6
GOLGA4-PDGFRB	GOLGA4	PDGFRB
HAS2-PLAG1	HAS2	PLAG1
HIP1-PDGFRB	HIP1	PDGFRB
LAMA4-HMGA1	LAMA4	HMGA1
FHIT-HMGA2	FHIT	HMGA2
ALDH2-HMGA2	ALDH2	HMGA2
LHFPL6-HMGA2	LHFPL6	HMGA2
NFIB-HMGA2	NFIB	HMGA2
NFIB-MYB	NFIB	MYB
RAD51B-HMGA2	RAD51B	HMGA2
RAD51B-RPSAP52	RAD51B	RPSAP52
WIF1-HMGA2	WIF1	HMGA2
HNRNPA2B1-ETV1	HNRNPA2B1	ETV1
HOOK3-RET	HOOK3	RET
HPR-MRPS10	HPR	MRPS10
IKZF1-BCL6	IKZF1	BCL6
IL21R-BCL6	IL21R	BCL6
ABL1-INPP5D	ABL1	INPP5D
KIF5B-PDGFRA	KIF5B	PDGFRA
KIF5B-RET	KIF5B	RET
KTN1-RET	KTN1	RET
FGFR1-LRRFIP1	FGFR1	LRRFIP1
MALT1-MAP4	MALT1	MAP4
MEF2D-DAZAP1	MEF2D	DAZAP1
MYC-ZBTB5	MYC	ZBTB5
MYC-MIR142	MYC	MIR142
