MT	1	577	647	MT-TF
MT	1	648	1601	MT-RNR1
MT	1	1602	1670	MT-TV
MT	1	1671	3229	MT-RNR2
MT	1	3230	3304	MT-TL1
MT	1	3307	4262	MT-ND1
MT	1	4263	4331	MT-TI
MT	-1	4329	4400	MT-TQ
MT	1	4402	4469	MT-TM
MT	1	4470	5511	MT-ND2
MT	1	5512	5579	MT-TW
MT	-1	5587	5655	MT-TA
MT	-1	5657	5729	MT-TN
MT	-1	5761	5826	MT-TC
MT	-1	5826	5891	MT-TY
MT	1	5904	7445	MT-CO1
MT	-1	7446	7514	MT-TS1
MT	1	7518	7585	MT-TD
MT	1	7586	8269	MT-CO2
MT	1	8295	8364	MT-TK
MT	1	8366	8572	MT-ATP8
MT	1	8527	9207	MT-ATP6
MT	1	9207	9990	MT-CO3
MT	1	9991	10058	MT-TG
MT	1	10059	10404	MT-ND3
MT	1	10405	10469	MT-TR
MT	1	10470	10766	MT-ND4L
MT	1	10760	12137	MT-ND4
MT	1	12138	12206	MT-TH
MT	1	12207	12265	MT-TS2
MT	1	12266	12336	MT-TL2
MT	1	12337	14148	MT-ND5
MT	-1	14149	14673	MT-ND6
MT	-1	14674	14742	MT-TE
MT	1	14747	15887	MT-CYB
MT	1	15888	15953	MT-TT
MT	-1	15956	16023	MT-TP
18	1	32412182	32413236	AC021224.1
2	1	72760534	72760602	RF00592
1	1	16873708	16873851	RNU1-5P
6	-1	37832922	37833185	RN7SL285P
16	1	35734393	35734504	RNA5SP406
7	-1	128483907	128484158	RF00017
4	-1	82944738	82944845	RF00019
11	-1	70705167	70705269	RF00019
9	1	8797135	8797194	RNU7-185P
5	-1	176547433	176547726	RN7SL684P
X	-1	28982852	28982970	RNA5SP500
1	1	12507246	12507397	SNORA59A
16	1	35751574	35751684	RNA5SP416
12	1	112069104	112069209	RF00019
1	1	202070841	202070943	RF00019
3	1	42221840	42221965	RNU4-78P
5	-1	97175950	97176113	RNU1-73P
2	1	161409554	161409670	RNA5SP108
4	-1	140779039	140779141	RF00019
7	1	121736443	121736725	RN7SKP277
21	1	8439823	8439975	RNA5-8SN1
7	-1	115581315	115581442	SNORA25B
12	1	95617689	95617786	RF00019
5	1	82078427	82078724	RN7SL378P
3	1	52692736	52692812	SNORD69
19	1	46736312	46736419	RF00019
3	-1	48094801	48095105	RN7SL664P
7	1	66344303	66344414	RNU6-313P
12	-1	96427200	96427486	RN7SKP11
11	1	118994334	118994630	RF00017
2	1	20175805	20175909	RNU6-961P
2	1	137715332	137715440	RF00019
X	1	20452108	20452431	RN7SKP183
4	-1	4920770	4921064	RN7SKP113
9	1	115734392	115734491	RF00004
1	-1	45592722	45592814	AL355480.2
10	-1	110642678	110642785	RF00019
1	1	23370254	23370346	RF00019
4	1	129041766	129041877	AC093826.2
6	1	29582249	29582332	SNORD32B
12	1	56861375	56861508	RF00554
1	1	12166943	12167038	MIR7846
1	1	167998660	167998726	MIR1255B2
5	-1	17156971	17157071	RNA5SP180
9	-1	15776181	15776286	RNU6-14P
1	1	32086949	32087007	MIR5585
1	-1	171101728	171101806	MIR1295A
20	-1	35769785	35769867	RF00026
1	1	28648600	28648733	RNU11
1	1	62078786	62078859	MIR3116-1
1	-1	220117853	220117962	MIR215
22	1	21555138	21555457	RF00017
2	-1	223248498	223248794	RN7SL807P
1	-1	148334479	148334554	MIR5087
10	1	20551970	20552046	MIR4675
20	-1	35853252	35853364	RF00019
14	-1	22756761	22756829	RF00588
11	1	65636310	65636369	MIR4690
1	-1	247201967	247202060	MIR3916
11	-1	64891355	64891439	MIR194-2
12	1	79419257	79419321	MIR1252
4	1	6997012	6997328	RN7SKP292
5	1	18547312	18547605	RN7SL58P
11	1	67045643	67045708	MIR6860
14	-1	105150778	105150864	MIR6765
17	1	8329583	8329719	RF00265
11	1	86278333	86278398	MIR6755
17	-1	2050271	2050380	MIR212
7	1	29912528	29912632	RF01210
12	-1	94571231	94571352	MIR7844
8	-1	11392411	11392517	RNU6-1084P
17	-1	59151136	59151221	MIR301A
10	-1	35079598	35079680	MIR3611
8	1	98048856	98048962	RNU6-703P
12	-1	108836908	108837006	MIR619
17	-1	77396984	77397054	MIR4316
16	-1	30483135	30483195	RNU7-61P
11	1	56743873	56743981	MIR6128
19	1	53686469	53686555	MIR519C
1	1	77614869	77614952	RNA5SP20
14	-1	104677694	104677749	MIR4710
6	-1	33562880	33563130	RF00017
16	1	770183	770277	MIR662
11	1	69083176	69083258	MIR3164
19	1	53748636	53748722	MIR521-1
11	1	2372638	2372750	RF00019
2	-1	206783234	206783308	MIR3130-1
11	-1	119312950	119313012	MIR6756
18	-1	112256	112339	MIR8078
6	1	16205014	16205120	RNU6-1114P
2	1	87194786	87194859	MIR4771-1
5	1	154347106	154347247	MIR1294
13	-1	65966330	65966429	MIR548X2
8	-1	69922751	69923047	RN7SL675P
14	1	100949833	100949904	SNORD114-1
2	-1	88082519	88082599	MIR4780
6	1	53276993	53277071	MIR5685
16	1	30893903	30893985	MIR762
17	-1	45526466	45526746	RF00017
20	1	57895394	57895444	AL162291.1
7	1	27099856	27099957	RF01978
7	-1	4788565	4788639	MIR4656
22	-1	31621467	31621531	MIR7109
16	1	83508346	83508408	MIR3182
17	1	62122320	62122421	RF00019
X	-1	44772773	44773061	RN7SL291P
7	-1	100093993	100094074	MIR106B
1	1	148388282	148388363	MIR6077
17	-1	18340814	18340886	MIR6778
6	-1	150326623	150326763	RNU4-7P
7	-1	151433489	151433639	MIR3907
3	1	50173326	50173419	AC104450.1
1	-1	231019828	231019924	MIR1182
X	-1	147272335	147272408	MIR510
17	-1	75784521	75784607	MIR4738
5	1	138116573	138116680	RNU6-460P
10	-1	125032783	125032870	MIR4296
4	-1	101330302	101330414	MIR1255A
X	1	154774998	154775126	SNORA56
17	1	81693757	81693869	MIR6786
11	1	65649192	65649253	MIR4489
19	1	53629713	53630041	RN7SL317P
5	-1	535840	535882	MIR4456
19	1	58334688	58334751	MIR6806
14	1	100989130	100989201	SNORD114-28
11	1	68044794	68044957	MIR6753
4	1	139055475	139055578	RNU6-531P
2	1	87629755	87629834	MIR4435-1
5	1	119154637	119154716	MIR5706
7	1	104911928	104912193	RN7SL8P
22	1	21652981	21653058	MIR301B
13	1	55174454	55174548	MIR5007
5	1	140647844	140647926	MIR3655
4	-1	112648363	112648430	MIR302C
19	-1	58543299	58543578	RN7SL525P
5	1	149732825	149732890	MIR378A
13	1	90231182	90231277	MIR622
4	1	147782595	147782668	MIR4799
20	-1	34384165	34384265	RF00019
15	-1	66496958	66497034	MIR4512
6	1	33438331	33438437	MIR5004
6	1	31633787	31633858	MIR6832
15	1	25241746	25241827	SNORD115-39
17	-1	31094350	31094425	MIR4733
1	-1	30739156	30739232	MIR4420
7	-1	129774905	129775014	MIR183
18	1	39034007	39034110	RNU6-706P
7	1	44051766	44051829	MIR6837
1	1	193136503	193136583	MIR1278
20	-1	56205052	56205173	RNA5SP487
9	-1	70809975	70810084	MIR204
17	1	38825838	38825892	MIR4727
2	1	127845236	127845341	RNU6-395P
8	1	12727237	12727299	MIR3926-2
9	-1	97363554	97363681	MIR1302-8
22	-1	50691260	50691363	RNU6-409P
18	1	30298910	30298960	MIR302F
8	-1	63234634	63234911	RN7SL135P
9	-1	109511475	109511545	MIR3927
X	-1	74218377	74218461	MIR421
19	1	13874875	13875011	MIR181D
5	-1	146245191	146245253	RNU7-180P
X	-1	32583656	32583752	MIR3915
20	1	44007248	44007537	RN7SL443P
13	1	113262920	113262999	MIR8075
19	-1	39409623	39409678	MIR4530
10	-1	24908522	24908812	RN7SKP241
X	1	50009722	50009805	MIR501
7	-1	72983360	72983461	RF00019
14	1	101052446	101052525	MIR487A
20	1	63178500	63178586	MIR124-3
3	-1	186629936	186630211	RF00017
X	1	151168222	151168326	MIR4330
16	1	16306370	16306434	MIR3670-2
14	1	100988161	100988230	SNORD114-27
